compiler method cycles
gcc malloc 3863
icc malloc 3533
gcc new 8394
icc new 1462
gcc malloc 3101
icc malloc 4742
gcc new 7375
icc new 1585
gcc malloc 3117
icc malloc 4101
gcc new 7652
icc new 1548
gcc malloc 3136
icc malloc 4261
gcc new 7513
icc new 1514
gcc malloc 3184
icc malloc 3888
gcc new 7825
icc new 1471
gcc malloc 3098
icc malloc 3640
gcc new 12340
icc new 1285
gcc malloc 3355
icc malloc 3576
gcc new 8011
icc new 1346
gcc malloc 4355
icc malloc 3572
gcc new 7595
icc new 1404
gcc malloc 3178
icc malloc 3952
gcc new 7644
icc new 1725
gcc malloc 3386
icc malloc 4717
gcc new 7925
icc new 1750
gcc malloc 3184
icc malloc 3737
gcc new 7357
icc new 1560
gcc malloc 2903
icc malloc 3585
gcc new 8054
icc new 1293
gcc malloc 3478
icc malloc 3927
gcc new 11315
icc new 1266
gcc malloc 3270
icc malloc 4154
gcc new 7258
icc new 1523
gcc malloc 3117
icc malloc 3913
gcc new 8035
icc new 1652
gcc malloc 3246
icc malloc 3864
gcc new 8485
icc new 1279
gcc malloc 3414
icc malloc 3438
gcc new 7914
icc new 2542
gcc malloc 3383
icc malloc 3793
gcc new 7813
icc new 1453
gcc malloc 3138
icc malloc 3841
gcc new 11587
icc new 1887
gcc malloc 3061
icc malloc 3766
gcc new 7810
icc new 1544
gcc malloc 3092
icc malloc 3870
gcc new 7625
icc new 1606
gcc malloc 3946
icc malloc 3586
gcc new 7231
icc new 1563
gcc malloc 3337
icc malloc 3453
gcc new 7650
icc new 1795
gcc malloc 4407
icc malloc 3478
gcc new 7268
icc new 1529
gcc malloc 3000
icc malloc 5454
gcc new 8310
icc new 1603
gcc malloc 3120
icc malloc 4457
gcc new 8843
icc new 1762
gcc malloc 3075
icc malloc 3860
gcc new 7824
icc new 1670
gcc malloc 2977
icc malloc 4178
gcc new 10410
icc new 1419
gcc malloc 4751
icc malloc 4787
gcc new 7289
icc new 1508
gcc malloc 3132
icc malloc 3839
gcc new 7619
icc new 1480
gcc malloc 2964
icc malloc 5374
gcc new 7293
icc new 1572
gcc malloc 3108
icc malloc 3753
gcc new 7718
icc new 1878
gcc malloc 3257
icc malloc 4405
gcc new 7314
icc new 2083
gcc malloc 4209
icc malloc 4640
gcc new 8060
icc new 1603
gcc malloc 3566
icc malloc 5065
gcc new 8001
icc new 1576
gcc malloc 3370
icc malloc 3705
